order_item_id,order_id,product_id,quantity,unit_price,discount_pct
1,100001,60,1,449,5
2,100002,42,1,529,0
3,100002,189,1,639,10
4,100002,60,1,449,30
5,100003,157,1,219,0
6,100004,157,1,219,0
7,100004,62,1,219,20
8,100005,109,1,1149,15
9,100005,115,1,329,0
10,100005,165,1,329,0
11,100006,112,2,369,0
12,100007,127,1,459,15
13,100007,165,3,329,5
14,100007,60,1,449,5
15,100008,60,2,449,15
16,100008,157,1,219,20
17,100008,127,1,459,15
18,100008,50,2,919,0
19,100008,162,1,1969,15
20,100009,123,1,2209,10
21,100009,60,1,449,15
22,100010,85,1,2099,0
23,100010,123,2,2209,15
24,100011,60,1,449,10
25,100012,73,3,1829,10
26,100012,132,2,309,15
27,100012,60,1,449,5
28,100013,60,3,449,0
29,100014,60,2,449,0
30,100014,163,2,479,30
31,100015,9,2,6199,0
32,100016,9,3,6199,10
33,100016,146,1,259,0
34,100017,34,3,829,0
35,100018,60,1,449,0
36,100019,62,1,219,5
37,100019,60,1,449,30
38,100019,157,2,219,0
39,100020,60,1,449,10
40,100021,44,2,3189,5
41,100021,60,1,449,10
42,100021,73,3,1829,0
43,100022,157,2,219,0
44,100023,50,1,919,5
45,100023,17,1,65549,5
46,100023,60,1,449,5
47,100024,157,2,219,0
48,100024,60,1,449,0
49,100025,60,2,449,0
50,100026,116,1,449,0
51,100026,60,1,449,0
52,100026,50,2,919,0
53,100026,134,2,1449,10
54,100027,60,1,449,20
55,100028,106,1,239,0
56,100029,131,1,429,0
57,100029,161,2,1269,5
58,100029,101,1,609,0
59,100030,73,1,1829,0
60,100030,135,1,209,5
61,100030,4,1,15869,0
62,100031,165,1,329,0
63,100032,60,1,449,0
64,100032,126,1,259,5
65,100032,195,2,349,0
66,100033,60,1,449,15
67,100034,157,1,219,0
68,100034,126,1,259,0
69,100035,77,1,24179,0
70,100035,165,1,329,5
71,100035,60,1,449,0
72,100035,13,2,3559,0
73,100036,60,1,449,15
74,100036,128,1,349,15
75,100037,33,1,1269,0
76,100037,165,2,329,0
77,100038,28,2,2139,5
78,100038,60,2,449,10
79,100039,135,1,209,15
80,100039,60,3,449,0
81,100040,60,1,449,0
82,100040,139,1,1539,0
83,100041,109,2,1149,0
84,100042,103,3,209,15
85,100042,60,1,449,0
86,100043,49,1,689,0
87,100043,60,2,449,0
88,100044,60,1,449,20
89,100044,94,2,1579,0
90,100045,92,1,5199,0
91,100045,128,1,349,0
92,100045,8,1,1529,0
93,100046,100,1,509,0
94,100047,176,1,839,0
95,100047,164,1,1669,10
96,100048,60,2,449,0
97,100048,165,1,329,5
98,100048,119,2,2159,0
99,100049,116,1,449,0
100,100050,143,1,259,20
101,100050,130,1,119,0
102,100051,60,1,449,0
103,100051,36,1,1359,15
104,100051,116,2,449,0
105,100052,89,1,219,10
106,100053,61,1,639,0
107,100053,114,2,229,0
108,100053,60,2,449,5
109,100054,60,1,449,10
110,100055,60,1,449,0
111,100055,190,1,2289,0
112,100056,165,1,329,10
113,100057,148,1,3169,0
114,100057,50,1,919,20
115,100058,127,1,459,0
116,100058,63,2,509,5
117,100059,94,1,1579,0
118,100059,60,1,449,10
119,100059,65,2,289,15
120,100060,129,1,549,5
121,100061,178,1,809,30
122,100061,60,1,449,10
123,100061,149,1,709,5
124,100062,137,2,2069,15
125,100062,15,1,3869,0
126,100062,89,1,219,0
127,100063,69,1,1289,5
128,100063,148,1,3169,0
129,100063,8,1,1529,10
130,100063,9,2,6199,5
131,100063,155,1,2759,15
132,100064,109,1,1149,10
133,100064,165,1,329,20
134,100064,157,2,219,20
135,100065,179,1,559,10
136,100065,127,3,459,0
137,100065,132,1,309,15
138,100066,60,1,449,15
139,100066,107,3,179,20
140,100067,165,1,329,10
141,100067,42,1,529,0
142,100068,60,1,449,10
143,100069,60,2,449,0
144,100070,61,3,639,0
145,100070,179,1,559,30
146,100070,143,1,259,0
147,100070,157,1,219,15
148,100071,147,1,1459,0
149,100072,60,1,449,20
150,100073,157,1,219,10
151,100074,178,1,809,5
152,100075,167,2,1109,20
153,100076,84,1,3789,10
154,100077,131,1,429,15
155,100077,188,1,479,0
156,100078,116,1,449,0
157,100078,62,1,219,0
158,100078,107,1,179,0
159,100079,60,1,449,0
160,100080,60,1,449,20
161,100081,109,1,1149,0
162,100082,60,1,449,5
163,100083,157,1,219,20
164,100083,60,1,449,0
165,100084,165,1,329,10
166,100084,114,1,229,0
167,100085,102,2,219,0
168,100085,128,1,349,10
169,100086,60,1,449,0
170,100087,116,1,449,5
171,100087,179,1,559,5
172,100087,60,1,449,0
173,100088,130,1,119,15
174,100089,134,2,1449,10
175,100090,176,1,839,20
176,100091,105,1,599,0
177,100091,157,1,219,5
178,100092,60,1,449,0
179,100093,60,1,449,5
180,100094,60,2,449,10
181,100095,165,1,329,15
182,100096,113,1,699,0
183,100096,60,1,449,0
184,100097,22,2,110409,20
185,100097,60,1,449,0
186,100098,65,2,289,10
187,100099,60,1,449,10
188,100100,60,1,449,0
189,100100,68,1,929,10
190,100101,88,1,4359,15
191,100102,60,1,449,15
192,100103,157,2,219,0
193,100104,30,1,6999,20
194,100104,116,2,449,5
195,100104,112,2,369,0
196,100104,128,1,349,0
197,100105,85,2,2099,30
198,100106,8,1,1529,5
199,100107,165,1,329,0
200,100107,60,2,449,20
201,100108,165,1,329,0
202,100108,22,1,110409,0
203,100109,60,1,449,0
204,100109,106,2,239,0
205,100110,120,1,989,0
206,100111,60,1,449,0
207,100111,125,3,1749,0
208,100112,22,3,110409,0
209,100112,111,3,409,5
210,100112,60,1,449,10
211,100112,165,2,329,10
212,100112,62,2,219,5
213,100113,70,1,889,10
214,100113,157,2,219,0
215,100113,89,1,219,20
216,100113,60,1,449,0
217,100114,103,1,209,0
218,100114,172,2,319,30
219,100114,60,1,449,5
220,100115,99,1,749,0
221,100116,196,1,309,0
222,100117,157,1,219,20
